Data Set 1:Wavelength(nm),Data Set 1:Absorbance,Data Set 2:Wavelength(nm),Data Set 2:Absorbance
220.0,3.000,,
220.6,3.000,,
221.3,3.000,,
221.9,3.000,,
222.6,3.000,,
223.2,3.000,,
223.9,2.112,,
224.5,1.753,,
225.2,1.581,,
225.8,1.459,,
226.5,1.361,,
227.1,1.273,,
227.8,1.205,,
228.4,1.153,,
229.1,1.087,,
229.7,1.031,,
230.4,0.968,,
231.0,0.923,,
231.7,0.875,,
232.3,0.842,,
233.0,0.810,,
233.6,0.787,,
234.3,0.762,,
234.9,0.739,,
235.6,0.721,,
236.2,0.701,,
236.9,0.683,,
237.5,0.662,,
238.2,0.644,,
238.8,0.630,,
239.5,0.617,,
240.1,0.607,,
240.8,0.593,,
241.4,0.582,,
242.0,0.570,,
242.7,0.559,,
243.3,0.547,,
244.0,0.537,,
244.6,0.531,,
245.3,0.524,,
245.9,0.516,,
246.6,0.507,,
247.2,0.499,,
247.9,0.490,,
248.5,0.480,,
249.2,0.467,,
249.8,0.452,,
250.5,0.434,,
251.1,0.417,,
251.8,0.397,,
252.4,0.374,,
253.1,0.350,,
253.7,0.327,,
254.4,0.308,,
255.0,0.289,,
255.7,0.272,,
256.3,0.258,,
257.0,0.245,,
257.6,0.235,,
258.3,0.225,,
258.9,0.217,,
259.6,0.211,,
260.2,0.205,,
260.9,0.199,,
261.5,0.194,,
262.2,0.189,,
262.8,0.185,,
263.5,0.181,,
264.1,0.176,,
264.8,0.173,,
265.4,0.171,,
266.1,0.168,,
266.7,0.166,,
267.4,0.162,,
268.0,0.160,,
268.7,0.159,,
269.3,0.157,,
270.0,0.156,,
270.6,0.154,,
271.3,0.153,,
271.9,0.153,,
272.6,0.151,,
273.2,0.152,,
273.8,0.151,,
274.5,0.151,,
275.1,0.149,,
275.8,0.149,,
276.4,0.150,,
277.1,0.151,,
277.8,0.150,,
278.4,0.151,,
279.0,0.152,,
279.7,0.153,,
280.3,0.154,,
280.9,0.155,,
281.6,0.155,,
282.2,0.155,,
282.9,0.154,,
283.5,0.153,,
284.1,0.152,,
284.8,0.151,,
285.4,0.150,,
286.1,0.148,,
286.7,0.147,,
287.3,0.147,,
288.0,0.147,,
288.6,0.146,,
289.3,0.147,,
289.9,0.147,,
290.5,0.147,,
291.2,0.148,,
291.8,0.148,,
292.5,0.147,,
293.1,0.145,,
293.7,0.143,,
294.4,0.140,,
295.0,0.135,,
295.7,0.131,,
296.3,0.126,,
296.9,0.122,,
297.6,0.118,,
298.2,0.114,,
298.9,0.111,,
299.5,0.110,,
300.1,0.108,,
300.8,0.107,,
301.4,0.105,,
302.0,0.103,,
302.7,0.102,,
303.3,0.102,,
304.0,0.102,,
304.6,0.102,,
305.2,0.101,,
305.9,0.102,,
306.5,0.101,,
307.2,0.101,,
307.8,0.102,,
308.4,0.102,,
309.1,0.102,,
309.7,0.101,,
310.4,0.101,,
311.0,0.099,,
311.6,0.099,,
312.3,0.098,,
312.9,0.099,,
313.6,0.099,,
314.2,0.100,,
314.8,0.101,,
315.5,0.101,,
316.1,0.101,,
316.8,0.101,,
317.4,0.101,,
318.0,0.102,,
318.7,0.102,,
319.3,0.102,,
320.0,0.101,,
320.6,0.100,,
321.2,0.100,,
321.9,0.100,,
322.5,0.101,,
323.1,0.103,,
323.8,0.104,,
324.4,0.105,,
325.1,0.106,,
325.7,0.106,,
326.3,0.105,,
327.0,0.101,,
327.6,0.097,,
328.3,0.090,,
328.9,0.084,,
329.5,0.080,,
330.2,0.083,,
330.8,0.090,,
331.5,0.100,,
332.1,0.107,,
332.8,0.108,,
333.4,0.105,,
334.1,0.102,,
334.8,0.100,,
335.4,0.100,,
336.1,0.098,,
336.8,0.097,,
337.5,0.097,,
338.1,0.097,,
338.8,0.097,,
339.5,0.097,,
340.2,0.097,,
340.8,0.097,,
341.5,0.095,,
342.2,0.094,,
342.9,0.091,,
343.5,0.091,,
344.2,0.092,,
344.9,0.092,,
345.6,0.091,,
346.2,0.090,,
346.9,0.090,,
347.6,0.090,,
348.3,0.090,,
348.9,0.091,,
349.6,0.090,,
350.3,0.090,,
351.0,0.089,,
351.6,0.087,,
352.3,0.088,,
353.0,0.089,,
353.7,0.089,,
354.3,0.088,,
355.0,0.087,,
355.7,0.088,,
356.4,0.086,,
357.0,0.085,,
357.7,0.084,,
358.4,0.084,,
359.1,0.087,,
359.7,0.086,,
360.4,0.085,,
361.1,0.084,,
361.8,0.082,,
362.4,0.083,,
363.1,0.081,,
363.7,0.082,,
364.4,0.081,,
365.0,0.082,,
365.7,0.082,,
366.4,0.081,,
367.0,0.081,,
367.7,0.081,,
368.3,0.081,,
369.0,0.081,,
369.7,0.080,,
370.3,0.080,,
371.0,0.079,,
371.6,0.080,,
372.3,0.079,,
372.9,0.080,,
373.6,0.078,,
374.3,0.079,,
374.9,0.079,,
375.6,0.079,,
376.2,0.078,,
376.9,0.078,,
377.6,0.077,,
378.2,0.076,,
378.9,0.076,,
379.5,0.074,,
380.2,0.075,,
380.8,0.074,,
381.5,0.075,,
382.2,0.075,,
382.8,0.074,,
383.5,0.074,,
384.1,0.072,,
384.8,0.074,,
385.5,0.073,,
386.1,0.074,,
386.8,0.072,,
387.4,0.070,,
388.1,0.068,,
388.7,0.069,,
389.4,0.071,,
390.1,0.071,,
390.7,0.071,,
391.4,0.070,,
392.0,0.070,,
392.7,0.069,,
393.4,0.068,,
394.0,0.068,,
394.7,0.070,,
395.3,0.073,,
396.0,0.072,,
396.6,0.070,,
397.3,0.068,,
398.0,0.067,,
398.6,0.067,,
399.3,0.066,,
399.9,0.065,,
400.6,0.063,,
401.3,0.064,,
401.9,0.065,,
402.6,0.065,,
403.2,0.065,,
403.9,0.063,,
404.5,0.063,,
405.2,0.062,,
405.9,0.063,,
406.5,0.062,,
407.2,0.059,,
407.8,0.059,,
408.5,0.061,,
409.2,0.064,,
409.8,0.063,,
410.5,0.063,,
411.1,0.061,,
411.8,0.062,,
412.4,0.062,,
413.1,0.062,,
413.8,0.061,,
414.4,0.059,,
415.1,0.059,,
415.8,0.059,,
416.4,0.058,,
417.1,0.057,,
417.7,0.059,,
418.4,0.060,,
419.1,0.062,,
419.7,0.061,,
420.4,0.060,,
421.0,0.059,,
421.7,0.057,,
422.4,0.055,,
423.0,0.053,,
423.7,0.053,,
424.3,0.054,,
425.0,0.053,,
425.7,0.054,,
426.3,0.056,,
427.0,0.058,,
427.6,0.057,,
428.3,0.056,,
429.0,0.054,,
429.6,0.052,,
430.3,0.052,,
430.9,0.050,,
431.6,0.050,,
432.3,0.049,,
432.9,0.052,,
433.6,0.053,,
434.2,0.053,,
434.9,0.052,,
435.6,0.050,,
436.2,0.048,,
436.9,0.047,,
437.5,0.050,,
438.2,0.051,,
438.9,0.050,,
439.5,0.049,,
440.2,0.048,,
440.8,0.049,,
441.5,0.048,,
442.2,0.049,,
442.8,0.049,,
443.5,0.049,,
444.1,0.047,,
444.8,0.048,,
445.5,0.048,,
446.1,0.048,,
446.8,0.048,,
447.4,0.048,,
448.1,0.046,,
448.8,0.045,,
449.4,0.045,,
450.1,0.045,,
450.8,0.045,,
451.4,0.045,,
452.1,0.045,,
452.7,0.044,,
453.4,0.043,,
454.1,0.044,,
454.7,0.046,,
455.4,0.048,,
456.0,0.045,,
456.7,0.043,,
457.4,0.038,,
458.0,0.038,,
458.7,0.037,,
459.3,0.039,,
460.0,0.040,,
460.7,0.042,,
461.3,0.043,,
462.0,0.044,,
462.6,0.042,,
463.3,0.040,,
464.0,0.039,,
464.6,0.040,,
465.3,0.040,,
465.9,0.038,,
466.6,0.035,,
467.3,0.034,,
467.9,0.033,,
468.6,0.032,,
469.2,0.034,,
469.9,0.035,,
470.6,0.035,,
471.2,0.033,,
471.9,0.035,,
472.5,0.034,,
473.2,0.034,,
473.9,0.032,,
474.5,0.032,,
475.2,0.031,,
475.8,0.031,,
476.5,0.032,,
477.2,0.031,,
477.8,0.031,,
478.5,0.030,,
479.1,0.029,,
479.8,0.028,,
480.5,0.028,,
481.1,0.031,,
481.8,0.043,,
482.4,0.045,,
483.1,0.043,,
483.8,0.032,,
484.4,0.029,,
485.1,0.029,,
485.7,0.029,,
486.4,0.028,,
487.0,0.027,,
487.7,0.027,,
488.3,0.026,,
489.0,0.025,,
489.7,0.024,,
490.3,0.024,,
491.0,0.023,,
491.6,0.022,,
492.3,0.023,,
492.9,0.024,,
493.6,0.023,,
494.2,0.023,,
494.9,0.023,,
495.5,0.023,,
496.2,0.022,,
496.8,0.022,,
497.5,0.023,,
498.2,0.024,,
498.8,0.023,,
499.5,0.022,,
500.1,0.020,,
500.8,0.021,,
501.4,0.021,,
502.1,0.022,,
502.7,0.019,,
503.4,0.019,,
504.0,0.018,,
504.7,0.018,,
505.3,0.017,,
506.0,0.016,,
506.7,0.016,,
507.3,0.017,,
508.0,0.017,,
508.6,0.018,,
509.3,0.017,,
509.9,0.018,,
510.6,0.016,,
511.2,0.015,,
511.9,0.013,,
512.5,0.013,,
513.2,0.013,,
513.8,0.014,,
514.5,0.014,,
515.2,0.015,,
515.8,0.015,,
516.5,0.014,,
517.1,0.014,,
517.8,0.013,,
518.4,0.014,,
519.1,0.013,,
519.7,0.013,,
520.4,0.011,,
521.0,0.011,,
521.7,0.010,,
522.3,0.011,,
523.0,0.012,,
