Data Set 1:Wavelength(nm),Data Set 1:Absorbance,Data Set 2:Wavelength(nm),Data Set 2:Absorbance
523.7,0.012,,
524.3,0.012,,
525.0,0.012,,
525.6,0.011,,
526.3,0.010,,
526.9,0.010,,
527.6,0.011,,
528.2,0.012,,
528.9,0.014,,
529.5,0.014,,
530.2,0.013,,
530.8,0.013,,
531.5,0.012,,
532.2,0.012,,
532.8,0.012,,
533.5,0.012,,
534.1,0.013,,
534.8,0.013,,
535.4,0.012,,
536.1,0.011,,
536.8,0.012,,
537.4,0.012,,
538.1,0.013,,
538.8,0.013,,
539.5,0.013,,
540.2,0.013,,
540.8,0.012,,
541.5,0.011,,
542.2,0.010,,
542.9,0.011,,
543.6,0.012,,
544.2,0.012,,
544.9,0.012,,
545.6,0.012,,
546.3,0.010,,
547.0,0.010,,
547.6,0.010,,
548.3,0.011,,
549.0,0.011,,
549.7,0.011,,
550.4,0.010,,
551.0,0.011,,
551.7,0.010,,
552.4,0.010,,
553.1,0.009,,
553.8,0.010,,
554.4,0.010,,
555.1,0.010,,
555.8,0.011,,
556.5,0.012,,
557.2,0.012,,
557.8,0.011,,
558.5,0.010,,
559.2,0.010,,
559.9,0.010,,
560.6,0.010,,
561.2,0.009,,
561.9,0.009,,
562.6,0.010,,
563.3,0.011,,
564.0,0.012,,
564.6,0.013,,
565.3,0.014,,
566.0,0.015,,
566.7,0.015,,
567.4,0.016,,
568.0,0.017,,
568.7,0.018,,
569.4,0.019,,
570.1,0.020,,
570.7,0.021,,
571.4,0.020,,
572.1,0.020,,
572.8,0.020,,
573.5,0.022,,
574.1,0.023,,
574.8,0.023,,
575.5,0.022,,
576.2,0.022,,
576.9,0.023,,
577.5,0.027,,
578.2,0.027,,
578.9,0.025,,
579.6,0.020,,
580.3,0.019,,
580.9,0.021,,
581.6,0.023,,
582.3,0.022,,
583.0,0.021,,
583.7,0.021,,
584.3,0.021,,
585.0,0.020,,
585.7,0.019,,
586.4,0.017,,
587.1,0.016,,
587.8,0.016,,
588.4,0.016,,
589.1,0.018,,
589.7,0.019,,
590.4,0.019,,
591.1,0.018,,
591.7,0.018,,
592.4,0.018,,
593.0,0.016,,
593.7,0.015,,
594.4,0.015,,
595.0,0.016,,
595.7,0.017,,
596.4,0.017,,
597.0,0.018,,
597.7,0.017,,
598.3,0.017,,
599.0,0.017,,
599.7,0.018,,
600.3,0.018,,
601.0,0.018,,
601.7,0.016,,
602.3,0.016,,
603.0,0.015,,
603.6,0.015,,
604.3,0.015,,
605.0,0.014,,
605.6,0.013,,
606.3,0.013,,
607.0,0.014,,
607.6,0.015,,
608.3,0.015,,
608.9,0.014,,
609.6,0.014,,
610.3,0.014,,
610.9,0.014,,
611.6,0.014,,
612.3,0.013,,
612.9,0.013,,
613.6,0.014,,
614.2,0.013,,
614.9,0.013,,
615.6,0.012,,
616.2,0.012,,
616.9,0.012,,
617.6,0.011,,
618.2,0.010,,
618.9,0.011,,
619.5,0.012,,
620.2,0.013,,
620.9,0.013,,
621.5,0.012,,
622.2,0.011,,
622.9,0.009,,
623.5,0.010,,
624.2,0.010,,
624.8,0.010,,
625.5,0.010,,
626.2,0.010,,
626.8,0.009,,
627.5,0.009,,
628.2,0.009,,
628.8,0.008,,
629.5,0.008,,
630.1,0.007,,
630.8,0.008,,
631.5,0.008,,
632.1,0.008,,
632.8,0.008,,
633.5,0.008,,
634.1,0.007,,
634.8,0.007,,
635.4,0.007,,
636.1,0.008,,
636.8,0.008,,
637.4,0.007,,
638.1,0.006,,
638.8,0.006,,
639.4,0.005,,
640.1,0.006,,
640.8,0.006,,
641.4,0.007,,
642.1,0.006,,
642.7,0.007,,
643.4,0.006,,
644.0,0.006,,
644.7,0.006,,
645.4,0.006,,
646.0,0.007,,
646.7,0.007,,
647.3,0.007,,
648.0,0.007,,
648.7,0.007,,
649.3,0.006,,
650.0,0.006,,
650.6,0.005,,
651.3,0.004,,
651.9,0.004,,
652.6,0.004,,
653.3,0.005,,
653.9,0.005,,
654.6,0.005,,
655.2,0.005,,
655.9,0.005,,
656.6,0.005,,
657.2,0.005,,
657.9,0.005,,
658.5,0.006,,
659.2,0.006,,
659.8,0.006,,
660.5,0.006,,
661.2,0.006,,
661.8,0.006,,
662.5,0.006,,
663.1,0.006,,
663.8,0.006,,
664.5,0.006,,
665.1,0.006,,
665.8,0.006,,
666.4,0.007,,
667.1,0.007,,
667.8,0.007,,
668.4,0.007,,
669.1,0.008,,
669.8,0.008,,
670.4,0.008,,
671.1,0.008,,
671.8,0.007,,
672.5,0.007,,
673.1,0.007,,
673.8,0.008,,
674.5,0.007,,
675.1,0.007,,
675.8,0.007,,
676.5,0.008,,
677.2,0.008,,
677.8,0.007,,
678.5,0.007,,
679.2,0.006,,
679.9,0.007,,
680.5,0.007,,
681.2,0.009,,
681.9,0.009,,
682.5,0.009,,
683.2,0.008,,
683.9,0.007,,
684.6,0.007,,
685.2,0.007,,
685.9,0.007,,
686.6,0.007,,
687.2,0.007,,
687.9,0.008,,
688.6,0.008,,
689.3,0.008,,
689.9,0.008,,
690.6,0.007,,
691.3,0.008,,
692.0,0.007,,
692.6,0.008,,
693.3,0.008,,
694.0,0.008,,
694.6,0.008,,
695.3,0.007,,
696.0,0.007,,
696.7,0.007,,
697.3,0.007,,
698.0,0.007,,
698.7,0.007,,
699.4,0.007,,
700.0,0.008,,
700.7,0.007,,
701.4,0.007,,
702.0,0.007,,
702.7,0.007,,
703.4,0.007,,
704.1,0.008,,
704.7,0.007,,
705.4,0.007,,
706.1,0.007,,
706.8,0.007,,
707.4,0.007,,
708.1,0.006,,
708.7,0.007,,
709.4,0.007,,
710.1,0.008,,
710.7,0.008,,
711.4,0.008,,
712.0,0.008,,
712.7,0.008,,
713.4,0.008,,
714.0,0.008,,
714.7,0.008,,
715.3,0.008,,
716.0,0.008,,
716.7,0.007,,
717.3,0.007,,
718.0,0.007,,
718.6,0.007,,
719.3,0.006,,
720.0,0.007,,
720.6,0.007,,
721.3,0.007,,
721.9,0.007,,
722.6,0.008,,
723.3,0.008,,
723.9,0.008,,
724.6,0.007,,
725.2,0.008,,
725.9,0.007,,
726.6,0.008,,
727.2,0.008,,
727.9,0.008,,
728.5,0.007,,
729.2,0.007,,
729.9,0.007,,
730.5,0.007,,
731.2,0.007,,
731.8,0.007,,
732.5,0.008,,
733.2,0.007,,
733.8,0.007,,
734.5,0.007,,
735.1,0.006,,
735.8,0.006,,
736.5,0.007,,
737.1,0.007,,
737.8,0.007,,
738.4,0.006,,
739.1,0.006,,
739.8,0.006,,
740.4,0.006,,
741.1,0.007,,
741.9,0.007,,
742.6,0.007,,
743.4,0.006,,
744.1,0.006,,
744.9,0.006,,
745.6,0.006,,
746.4,0.006,,
747.1,0.006,,
747.9,0.006,,
748.6,0.006,,
749.4,0.006,,
750.1,0.006,,
750.9,0.006,,
751.6,0.007,,
752.4,0.007,,
753.1,0.008,,
753.8,0.007,,
754.6,0.007,,
755.3,0.007,,
756.1,0.008,,
756.8,0.008,,
757.6,0.008,,
758.3,0.007,,
759.1,0.007,,
759.8,0.007,,
760.6,0.007,,
761.3,0.007,,
762.1,0.007,,
762.8,0.007,,
763.6,0.008,,
764.3,0.008,,
765.1,0.007,,
765.8,0.007,,
766.6,0.006,,
767.3,0.006,,
768.1,0.006,,
768.8,0.006,,
769.6,0.007,,
770.3,0.008,,
771.1,0.008,,
771.8,0.007,,
772.6,0.006,,
773.3,0.006,,
774.1,0.007,,
774.8,0.007,,
775.6,0.006,,
776.3,0.006,,
777.0,0.006,,
777.8,0.006,,
778.5,0.006,,
779.3,0.007,,
780.0,0.007,,
780.8,0.007,,
781.5,0.007,,
782.3,0.007,,
783.0,0.008,,
783.8,0.008,,
784.5,0.008,,
785.3,0.008,,
786.0,0.008,,
786.8,0.008,,
787.5,0.008,,
788.3,0.008,,
789.0,0.008,,
789.8,0.007,,
790.5,0.007,,
791.3,0.007,,
792.0,0.008,,
792.8,0.008,,
793.5,0.008,,
794.3,0.008,,
795.0,0.007,,
795.8,0.008,,
796.5,0.008,,
797.3,0.009,,
798.0,0.008,,
798.8,0.008,,
799.5,0.007,,
800.2,0.007,,
801.0,0.008,,
801.8,0.008,,
802.4,0.008,,
803.0,0.008,,
803.6,0.008,,
804.2,0.007,,
804.8,0.007,,
805.4,0.007,,
806.0,0.007,,
806.6,0.007,,
807.2,0.008,,
807.8,0.008,,
808.4,0.008,,
809.0,0.009,,
809.6,0.009,,
810.2,0.009,,
810.8,0.008,,
811.4,0.007,,
812.0,0.007,,
812.6,0.007,,
813.2,0.007,,
813.8,0.007,,
814.4,0.007,,
815.0,0.007,,
815.6,0.007,,
816.2,0.007,,
816.8,0.008,,
817.4,0.007,,
818.0,0.008,,
818.6,0.008,,
819.2,0.007,,
819.8,0.007,,
820.4,0.007,,
821.0,0.007,,
821.6,0.008,,
822.2,0.008,,
822.8,0.009,,
823.4,0.008,,
824.0,0.007,,
824.6,0.007,,
825.2,0.007,,
825.8,0.007,,
826.4,0.007,,
827.0,0.006,,
827.6,0.006,,
828.2,0.006,,
828.8,0.006,,
829.4,0.006,,
830.0,0.006,,
830.6,0.007,,
831.2,0.007,,
831.8,0.007,,
832.4,0.008,,
833.0,0.008,,
833.6,0.008,,
834.2,0.007,,
834.8,0.007,,
835.4,0.007,,
836.0,0.007,,
836.6,0.006,,
837.2,0.006,,
837.8,0.006,,
838.4,0.006,,
839.0,0.006,,
839.6,0.006,,
840.2,0.007,,
840.8,0.007,,
841.4,0.006,,
842.0,0.006,,
842.6,0.006,,
843.2,0.006,,
843.8,0.006,,
844.4,0.007,,
845.0,0.007,,
845.6,0.007,,
846.2,0.006,,
846.8,0.007,,
847.4,0.006,,
848.0,0.007,,
848.6,0.007,,
849.2,0.007,,
849.8,0.007,,
850.4,0.007,,
851.0,0.007,,
851.6,0.007,,
852.2,0.008,,
852.8,0.008,,
853.4,0.008,,
854.0,0.006,,
854.6,0.007,,
855.2,0.008,,
855.8,0.008,,
856.4,0.007,,
857.0,0.007,,
857.6,0.008,,
858.2,0.008,,
858.8,0.007,,
859.4,0.007,,
860.0,0.007,,
860.6,0.007,,
861.2,0.007,,
861.8,0.006,,
862.4,0.006,,
863.0,0.007,,
863.6,0.007,,
864.2,0.007,,
864.8,0.007,,
865.4,0.007,,
866.1,0.007,,
866.7,0.007,,
867.3,0.007,,
867.9,0.006,,
868.5,0.006,,
869.1,0.006,,
869.7,0.006,,
870.3,0.007,,
870.9,0.007,,
871.5,0.007,,
872.1,0.007,,
872.7,0.007,,
873.3,0.007,,
873.9,0.006,,
874.5,0.006,,
875.1,0.007,,
875.7,0.008,,
876.3,0.008,,
876.9,0.008,,
877.5,0.007,,
878.1,0.007,,
878.7,0.006,,
879.3,0.007,,
879.9,0.008,,
880.5,0.008,,
881.1,0.007,,
881.7,0.007,,
882.3,0.007,,
882.9,0.008,,
883.5,0.007,,
884.1,0.007,,
884.7,0.007,,
885.3,0.007,,
885.9,0.006,,
886.5,0.006,,
887.1,0.007,,
887.7,0.007,,
888.3,0.007,,
888.9,0.006,,
889.5,0.007,,
890.1,0.008,,
890.7,0.008,,
891.3,0.008,,
891.9,0.008,,
892.5,0.008,,
893.1,0.008,,
893.7,0.008,,
894.3,0.008,,
894.9,0.008,,
895.5,0.007,,
896.1,0.008,,
896.7,0.008,,
897.3,0.009,,
897.9,0.008,,
898.5,0.008,,
899.1,0.008,,
899.7,0.008,,
