Data Set 1:Wavelength(nm),Data Set 1:Absorbance,Data Set 2:Wavelength(nm),Data Set 2:Absorbance,6C QV AH UV:Wavelength(nm),6C QV AH UV:Absorbance,Data Set 4:Wavelength(nm),Data Set 4:Absorbance,Data Set 5:Wavelength(nm),Data Set 5:Absorbance
661.8,0.057,661.8,0.016,661.8,0.006,661.8,0.010,661.8,0.011
662.5,0.057,662.5,0.016,662.5,0.006,662.5,0.010,662.5,0.011
663.1,0.057,663.1,0.016,663.1,0.006,663.1,0.009,663.1,0.011
663.8,0.058,663.8,0.016,663.8,0.006,663.8,0.010,663.8,0.012
664.5,0.057,664.5,0.016,664.5,0.006,664.5,0.009,664.5,0.012
665.1,0.057,665.1,0.016,665.1,0.006,665.1,0.009,665.1,0.011
665.8,0.056,665.8,0.016,665.8,0.006,665.8,0.009,665.8,0.011
666.4,0.056,666.4,0.016,666.4,0.006,666.4,0.009,666.4,0.011
667.1,0.056,667.1,0.016,667.1,0.006,667.1,0.009,667.1,0.011
667.8,0.057,667.8,0.017,667.8,0.006,667.8,0.010,667.8,0.012
668.4,0.057,668.4,0.017,668.4,0.006,668.4,0.010,668.4,0.012
669.1,0.057,669.1,0.017,669.1,0.006,669.1,0.010,669.1,0.012
669.8,0.057,669.8,0.017,669.8,0.006,669.8,0.010,669.8,0.011
670.4,0.057,670.4,0.017,670.4,0.006,670.4,0.010,670.4,0.012
671.1,0.057,671.1,0.017,671.1,0.006,671.1,0.009,671.1,0.011
671.8,0.057,671.8,0.016,671.8,0.005,671.8,0.008,671.8,0.011
672.5,0.057,672.5,0.016,672.5,0.005,672.5,0.009,672.5,0.010
673.1,0.057,673.1,0.016,673.1,0.006,673.1,0.009,673.1,0.010
673.8,0.058,673.8,0.017,673.8,0.007,673.8,0.009,673.8,0.011
674.5,0.057,674.5,0.016,674.5,0.006,674.5,0.009,674.5,0.011
675.1,0.057,675.1,0.016,675.1,0.006,675.1,0.009,675.1,0.011
675.8,0.056,675.8,0.015,675.8,0.005,675.8,0.008,675.8,0.011
676.5,0.056,676.5,0.016,676.5,0.006,676.5,0.009,676.5,0.012
677.2,0.056,677.2,0.016,677.2,0.006,677.2,0.009,677.2,0.012
677.8,0.056,677.8,0.016,677.8,0.006,677.8,0.009,677.8,0.012
678.5,0.056,678.5,0.016,678.5,0.006,678.5,0.009,678.5,0.011
679.2,0.056,679.2,0.016,679.2,0.006,679.2,0.009,679.2,0.011
679.9,0.057,679.9,0.016,679.9,0.006,679.9,0.009,679.9,0.011
680.5,0.057,680.5,0.016,680.5,0.006,680.5,0.009,680.5,0.012
681.2,0.057,681.2,0.017,681.2,0.007,681.2,0.010,681.2,0.012
681.9,0.057,681.9,0.017,681.9,0.007,681.9,0.010,681.9,0.012
682.5,0.056,682.5,0.016,682.5,0.006,682.5,0.010,682.5,0.011
683.2,0.056,683.2,0.016,683.2,0.005,683.2,0.010,683.2,0.010
683.9,0.056,683.9,0.015,683.9,0.005,683.9,0.009,683.9,0.010
684.6,0.056,684.6,0.015,684.6,0.005,684.6,0.009,684.6,0.011
685.2,0.056,685.2,0.015,685.2,0.006,685.2,0.009,685.2,0.011
685.9,0.057,685.9,0.016,685.9,0.007,685.9,0.009,685.9,0.012
686.6,0.057,686.6,0.016,686.6,0.007,686.6,0.010,686.6,0.012
687.2,0.056,687.2,0.016,687.2,0.006,687.2,0.010,687.2,0.011
687.9,0.056,687.9,0.016,687.9,0.006,687.9,0.010,687.9,0.011
688.6,0.056,688.6,0.016,688.6,0.006,688.6,0.010,688.6,0.011
689.3,0.056,689.3,0.016,689.3,0.006,689.3,0.010,689.3,0.012
689.9,0.057,689.9,0.016,689.9,0.006,689.9,0.010,689.9,0.012
690.6,0.056,690.6,0.016,690.6,0.005,690.6,0.009,690.6,0.011
691.3,0.056,691.3,0.016,691.3,0.006,691.3,0.009,691.3,0.011
692.0,0.056,692.0,0.015,692.0,0.006,692.0,0.009,692.0,0.010
692.6,0.057,692.6,0.016,692.6,0.006,692.6,0.009,692.6,0.011
693.3,0.057,693.3,0.016,693.3,0.006,693.3,0.010,693.3,0.011
694.0,0.057,694.0,0.016,694.0,0.007,694.0,0.010,694.0,0.012
694.6,0.057,694.6,0.016,694.6,0.006,694.6,0.010,694.6,0.011
695.3,0.057,695.3,0.016,695.3,0.006,695.3,0.009,695.3,0.011
696.0,0.057,696.0,0.016,696.0,0.006,696.0,0.009,696.0,0.011
696.7,0.057,696.7,0.015,696.7,0.006,696.7,0.010,696.7,0.011
697.3,0.058,697.3,0.015,697.3,0.006,697.3,0.010,697.3,0.011
698.0,0.057,698.0,0.015,698.0,0.006,698.0,0.009,698.0,0.011
698.7,0.058,698.7,0.015,698.7,0.007,698.7,0.009,698.7,0.011
699.4,0.057,699.4,0.015,699.4,0.007,699.4,0.009,699.4,0.012
700.0,0.057,700.0,0.015,700.0,0.007,700.0,0.010,700.0,0.012
700.7,0.057,700.7,0.015,700.7,0.007,700.7,0.010,700.7,0.012
701.4,0.057,701.4,0.015,701.4,0.007,701.4,0.010,701.4,0.012
702.0,0.058,702.0,0.015,702.0,0.007,702.0,0.009,702.0,0.011
702.7,0.057,702.7,0.015,702.7,0.007,702.7,0.009,702.7,0.012
703.4,0.056,703.4,0.016,703.4,0.007,703.4,0.009,703.4,0.012
704.1,0.055,704.1,0.016,704.1,0.007,704.1,0.009,704.1,0.012
704.7,0.055,704.7,0.016,704.7,0.007,704.7,0.010,704.7,0.012
705.4,0.055,705.4,0.015,705.4,0.006,705.4,0.010,705.4,0.011
706.1,0.055,706.1,0.015,706.1,0.006,706.1,0.010,706.1,0.011
706.8,0.054,706.8,0.016,706.8,0.007,706.8,0.010,706.8,0.012
707.4,0.055,707.4,0.016,707.4,0.006,707.4,0.010,707.4,0.012
708.1,0.055,708.1,0.015,708.1,0.006,708.1,0.010,708.1,0.012
708.7,0.055,708.7,0.015,708.7,0.006,708.7,0.010,708.7,0.011
709.4,0.055,709.4,0.016,709.4,0.007,709.4,0.010,709.4,0.012
710.1,0.055,710.1,0.016,710.1,0.007,710.1,0.011,710.1,0.012
710.7,0.054,710.7,0.016,710.7,0.007,710.7,0.011,710.7,0.011
711.4,0.054,711.4,0.016,711.4,0.007,711.4,0.010,711.4,0.011
712.0,0.054,712.0,0.015,712.0,0.006,712.0,0.010,712.0,0.011
712.7,0.054,712.7,0.015,712.7,0.007,712.7,0.010,712.7,0.011
713.4,0.055,713.4,0.016,713.4,0.006,713.4,0.010,713.4,0.012
714.0,0.055,714.0,0.016,714.0,0.007,714.0,0.010,714.0,0.012
714.7,0.055,714.7,0.016,714.7,0.006,714.7,0.010,714.7,0.012
715.3,0.055,715.3,0.015,715.3,0.007,715.3,0.010,715.3,0.012
716.0,0.055,716.0,0.015,716.0,0.007,716.0,0.010,716.0,0.012
716.7,0.055,716.7,0.015,716.7,0.007,716.7,0.010,716.7,0.012
717.3,0.055,717.3,0.015,717.3,0.007,717.3,0.010,717.3,0.012
718.0,0.055,718.0,0.015,718.0,0.007,718.0,0.011,718.0,0.012
718.6,0.055,718.6,0.015,718.6,0.007,718.6,0.011,718.6,0.012
719.3,0.055,719.3,0.015,719.3,0.006,719.3,0.010,719.3,0.011
720.0,0.055,720.0,0.015,720.0,0.006,720.0,0.010,720.0,0.012
720.6,0.055,720.6,0.015,720.6,0.006,720.6,0.010,720.6,0.011
721.3,0.055,721.3,0.016,721.3,0.006,721.3,0.010,721.3,0.012
721.9,0.054,721.9,0.016,721.9,0.007,721.9,0.010,721.9,0.012
722.6,0.054,722.6,0.016,722.6,0.007,722.6,0.011,722.6,0.012
723.3,0.054,723.3,0.016,723.3,0.007,723.3,0.011,723.3,0.013
723.9,0.054,723.9,0.016,723.9,0.007,723.9,0.010,723.9,0.013
724.6,0.054,724.6,0.015,724.6,0.007,724.6,0.010,724.6,0.013
725.2,0.054,725.2,0.015,725.2,0.007,725.2,0.010,725.2,0.013
725.9,0.054,725.9,0.016,725.9,0.007,725.9,0.010,725.9,0.013
726.6,0.054,726.6,0.015,726.6,0.006,726.6,0.010,726.6,0.012
727.2,0.054,727.2,0.015,727.2,0.007,727.2,0.011,727.2,0.012
727.9,0.053,727.9,0.015,727.9,0.007,727.9,0.010,727.9,0.011
728.5,0.052,728.5,0.015,728.5,0.006,728.5,0.010,728.5,0.012
729.2,0.052,729.2,0.015,729.2,0.006,729.2,0.010,729.2,0.012
729.9,0.053,729.9,0.015,729.9,0.007,729.9,0.010,729.9,0.012
730.5,0.053,730.5,0.015,730.5,0.007,730.5,0.011,730.5,0.012
731.2,0.052,731.2,0.015,731.2,0.007,731.2,0.010,731.2,0.012
731.8,0.051,731.8,0.015,731.8,0.006,731.8,0.010,731.8,0.012
732.5,0.051,732.5,0.015,732.5,0.007,732.5,0.009,732.5,0.012
733.2,0.051,733.2,0.015,733.2,0.007,733.2,0.010,733.2,0.012
733.8,0.050,733.8,0.014,733.8,0.007,733.8,0.009,733.8,0.011
734.5,0.050,734.5,0.014,734.5,0.006,734.5,0.010,734.5,0.011
735.1,0.050,735.1,0.014,735.1,0.006,735.1,0.010,735.1,0.012
735.8,0.050,735.8,0.015,735.8,0.007,735.8,0.011,735.8,0.013
736.5,0.049,736.5,0.015,736.5,0.007,736.5,0.010,736.5,0.013
737.1,0.049,737.1,0.015,737.1,0.007,737.1,0.010,737.1,0.013
737.8,0.049,737.8,0.015,737.8,0.007,737.8,0.010,737.8,0.012
738.4,0.049,738.4,0.015,738.4,0.007,738.4,0.011,738.4,0.012
739.1,0.049,739.1,0.014,739.1,0.006,739.1,0.010,739.1,0.012
739.8,0.049,739.8,0.014,739.8,0.006,739.8,0.010,739.8,0.012
740.4,0.049,740.4,0.015,740.4,0.006,740.4,0.010,740.4,0.012
741.1,0.050,741.1,0.015,741.1,0.007,741.1,0.011,741.1,0.012
741.9,0.051,741.9,0.015,741.9,0.007,741.9,0.011,741.9,0.012
742.6,0.050,742.6,0.016,742.6,0.007,742.6,0.011,742.6,0.012
743.4,0.051,743.4,0.015,743.4,0.007,743.4,0.011,743.4,0.012
744.1,0.050,744.1,0.015,744.1,0.007,744.1,0.011,744.1,0.012
744.9,0.050,744.9,0.015,744.9,0.007,744.9,0.010,744.9,0.012
745.6,0.051,745.6,0.015,745.6,0.007,745.6,0.011,745.6,0.012
746.4,0.052,746.4,0.016,746.4,0.008,746.4,0.011,746.4,0.012
747.1,0.053,747.1,0.016,747.1,0.007,747.1,0.011,747.1,0.012
747.9,0.052,747.9,0.015,747.9,0.007,747.9,0.010,747.9,0.012
748.6,0.052,748.6,0.015,748.6,0.007,748.6,0.010,748.6,0.012
749.4,0.052,749.4,0.015,749.4,0.007,749.4,0.010,749.4,0.012
750.1,0.053,750.1,0.015,750.1,0.007,750.1,0.010,750.1,0.012
750.9,0.053,750.9,0.014,750.9,0.007,750.9,0.010,750.9,0.013
751.6,0.053,751.6,0.015,751.6,0.008,751.6,0.010,751.6,0.013
752.4,0.053,752.4,0.015,752.4,0.007,752.4,0.011,752.4,0.013
753.1,0.053,753.1,0.015,753.1,0.007,753.1,0.010,753.1,0.013
753.8,0.053,753.8,0.015,753.8,0.007,753.8,0.010,753.8,0.012
754.6,0.052,754.6,0.015,754.6,0.007,754.6,0.010,754.6,0.012
755.3,0.052,755.3,0.015,755.3,0.007,755.3,0.011,755.3,0.012
756.1,0.052,756.1,0.016,756.1,0.008,756.1,0.011,756.1,0.012
756.8,0.052,756.8,0.015,756.8,0.008,756.8,0.010,756.8,0.012
757.6,0.052,757.6,0.015,757.6,0.007,757.6,0.010,757.6,0.012
758.3,0.051,758.3,0.014,758.3,0.007,758.3,0.010,758.3,0.011
759.1,0.052,759.1,0.014,759.1,0.007,759.1,0.010,759.1,0.011
759.8,0.051,759.8,0.014,759.8,0.006,759.8,0.010,759.8,0.011
760.6,0.052,760.6,0.014,760.6,0.006,760.6,0.010,760.6,0.012
761.3,0.052,761.3,0.014,761.3,0.006,761.3,0.010,761.3,0.012
762.1,0.052,762.1,0.015,762.1,0.007,762.1,0.010,762.1,0.013
762.8,0.052,762.8,0.015,762.8,0.007,762.8,0.011,762.8,0.012
763.6,0.052,763.6,0.016,763.6,0.007,763.6,0.011,763.6,0.012
764.3,0.052,764.3,0.015,764.3,0.007,764.3,0.011,764.3,0.012
765.1,0.052,765.1,0.015,765.1,0.007,765.1,0.011,765.1,0.012
765.8,0.052,765.8,0.015,765.8,0.007,765.8,0.011,765.8,0.012
766.6,0.053,766.6,0.015,766.6,0.007,766.6,0.011,766.6,0.012
767.3,0.053,767.3,0.014,767.3,0.007,767.3,0.011,767.3,0.012
768.1,0.052,768.1,0.014,768.1,0.006,768.1,0.010,768.1,0.012
768.8,0.051,768.8,0.014,768.8,0.006,768.8,0.010,768.8,0.012
769.6,0.051,769.6,0.015,769.6,0.006,769.6,0.009,769.6,0.012
770.3,0.051,770.3,0.016,770.3,0.008,770.3,0.010,770.3,0.012
771.1,0.051,771.1,0.016,771.1,0.007,771.1,0.010,771.1,0.012
771.8,0.051,771.8,0.016,771.8,0.007,771.8,0.010,771.8,0.012
772.6,0.052,772.6,0.015,772.6,0.007,772.6,0.009,772.6,0.011
773.3,0.053,773.3,0.016,773.3,0.007,773.3,0.010,773.3,0.012
774.1,0.053,774.1,0.015,774.1,0.007,774.1,0.010,774.1,0.012
774.8,0.053,774.8,0.015,774.8,0.007,774.8,0.010,774.8,0.012
775.6,0.053,775.6,0.014,775.6,0.007,775.6,0.010,775.6,0.011
776.3,0.053,776.3,0.015,776.3,0.007,776.3,0.010,776.3,0.012
777.0,0.053,777.0,0.015,777.0,0.007,777.0,0.010,777.0,0.012
777.8,0.054,777.8,0.015,777.8,0.007,777.8,0.010,777.8,0.012
778.5,0.053,778.5,0.016,778.5,0.007,778.5,0.011,778.5,0.012
779.3,0.054,779.3,0.016,779.3,0.008,779.3,0.011,779.3,0.012
780.0,0.054,780.0,0.016,780.0,0.007,780.0,0.012,780.0,0.012
780.8,0.053,780.8,0.015,780.8,0.007,780.8,0.012,780.8,0.012
781.5,0.053,781.5,0.014,781.5,0.007,781.5,0.011,781.5,0.012
782.3,0.053,782.3,0.015,782.3,0.008,782.3,0.011,782.3,0.013
783.0,0.053,783.0,0.015,783.0,0.008,783.0,0.011,783.0,0.013
783.8,0.053,783.8,0.016,783.8,0.008,783.8,0.011,783.8,0.013
784.5,0.053,784.5,0.015,784.5,0.008,784.5,0.011,784.5,0.012
785.3,0.053,785.3,0.015,785.3,0.008,785.3,0.011,785.3,0.013
786.0,0.054,786.0,0.015,786.0,0.008,786.0,0.011,786.0,0.013
786.8,0.054,786.8,0.015,786.8,0.009,786.8,0.011,786.8,0.013
787.5,0.055,787.5,0.016,787.5,0.009,787.5,0.011,787.5,0.014
788.3,0.054,788.3,0.016,788.3,0.008,788.3,0.011,788.3,0.014
789.0,0.053,789.0,0.015,789.0,0.007,789.0,0.011,789.0,0.013
789.8,0.053,789.8,0.015,789.8,0.007,789.8,0.011,789.8,0.013
790.5,0.054,790.5,0.014,790.5,0.008,790.5,0.011,790.5,0.013
791.3,0.054,791.3,0.015,791.3,0.007,791.3,0.011,791.3,0.012
792.0,0.054,792.0,0.015,792.0,0.008,792.0,0.011,792.0,0.013
792.8,0.054,792.8,0.016,792.8,0.008,792.8,0.012,792.8,0.013
793.5,0.055,793.5,0.015,793.5,0.008,793.5,0.012,793.5,0.014
794.3,0.054,794.3,0.015,794.3,0.008,794.3,0.011,794.3,0.013
795.0,0.054,795.0,0.014,795.0,0.008,795.0,0.011,795.0,0.013
795.8,0.054,795.8,0.015,795.8,0.009,795.8,0.012,795.8,0.013
796.5,0.054,796.5,0.016,796.5,0.009,796.5,0.012,796.5,0.014
797.3,0.054,797.3,0.017,797.3,0.008,797.3,0.012,797.3,0.014
798.0,0.053,798.0,0.016,798.0,0.008,798.0,0.012,798.0,0.013
798.8,0.052,798.8,0.015,798.8,0.008,798.8,0.011,798.8,0.012
799.5,0.053,799.5,0.015,799.5,0.008,799.5,0.010,799.5,0.012
800.2,0.054,800.2,0.015,800.2,0.008,800.2,0.011,800.2,0.013
801.0,0.054,801.0,0.015,801.0,0.008,801.0,0.012,801.0,0.014
801.8,0.054,801.8,0.015,801.8,0.008,801.8,0.012,801.8,0.014
802.4,0.054,802.4,0.015,802.4,0.008,802.4,0.012,802.4,0.014
803.0,0.054,803.0,0.014,803.0,0.008,803.0,0.011,803.0,0.014
803.6,0.053,803.6,0.013,803.6,0.007,803.6,0.011,803.6,0.013
804.2,0.053,804.2,0.014,804.2,0.008,804.2,0.011,804.2,0.013
804.8,0.053,804.8,0.015,804.8,0.008,804.8,0.012,804.8,0.013
805.4,0.053,805.4,0.015,805.4,0.008,805.4,0.012,805.4,0.013
806.0,0.053,806.0,0.015,806.0,0.008,806.0,0.012,806.0,0.013
806.6,0.053,806.6,0.015,806.6,0.009,806.6,0.012,806.6,0.013
807.2,0.053,807.2,0.014,807.2,0.009,807.2,0.011,807.2,0.014
807.8,0.053,807.8,0.015,807.8,0.009,807.8,0.011,807.8,0.014
808.4,0.053,808.4,0.014,808.4,0.009,808.4,0.011,808.4,0.014
809.0,0.053,809.0,0.015,809.0,0.009,809.0,0.012,809.0,0.014
809.6,0.052,809.6,0.015,809.6,0.009,809.6,0.012,809.6,0.014
810.2,0.052,810.2,0.015,810.2,0.009,810.2,0.012,810.2,0.013
810.8,0.051,810.8,0.015,810.8,0.008,810.8,0.012,810.8,0.013
811.4,0.051,811.4,0.014,811.4,0.008,811.4,0.011,811.4,0.012
812.0,0.051,812.0,0.014,812.0,0.008,812.0,0.011,812.0,0.013
812.6,0.053,812.6,0.014,812.6,0.008,812.6,0.011,812.6,0.013
813.2,0.054,813.2,0.014,813.2,0.009,813.2,0.012,813.2,0.013
813.8,0.054,813.8,0.015,813.8,0.010,813.8,0.012,813.8,0.014
814.4,0.054,814.4,0.015,814.4,0.009,814.4,0.011,814.4,0.013
815.0,0.053,815.0,0.015,815.0,0.009,815.0,0.011,815.0,0.013
815.6,0.054,815.6,0.014,815.6,0.008,815.6,0.011,815.6,0.013
816.2,0.053,816.2,0.014,816.2,0.008,816.2,0.011,816.2,0.012
816.8,0.054,816.8,0.014,816.8,0.008,816.8,0.011,816.8,0.012
817.4,0.053,817.4,0.013,817.4,0.008,817.4,0.011,817.4,0.012
818.0,0.054,818.0,0.014,818.0,0.009,818.0,0.011,818.0,0.013
818.6,0.055,818.6,0.014,818.6,0.009,818.6,0.012,818.6,0.013
819.2,0.054,819.2,0.014,819.2,0.008,819.2,0.011,819.2,0.013
819.8,0.054,819.8,0.013,819.8,0.008,819.8,0.011,819.8,0.013
820.4,0.054,820.4,0.012,820.4,0.007,820.4,0.010,820.4,0.013
821.0,0.054,821.0,0.013,821.0,0.008,821.0,0.011,821.0,0.013
821.6,0.054,821.6,0.014,821.6,0.008,821.6,0.011,821.6,0.014
822.2,0.054,822.2,0.014,822.2,0.009,822.2,0.012,822.2,0.013
822.8,0.054,822.8,0.014,822.8,0.008,822.8,0.011,822.8,0.013
823.4,0.054,823.4,0.013,823.4,0.008,823.4,0.011,823.4,0.012
824.0,0.054,824.0,0.013,824.0,0.008,824.0,0.011,824.0,0.012
824.6,0.054,824.6,0.013,824.6,0.008,824.6,0.011,824.6,0.012
825.2,0.054,825.2,0.014,825.2,0.008,825.2,0.012,825.2,0.013
825.8,0.054,825.8,0.013,825.8,0.008,825.8,0.011,825.8,0.013
826.4,0.053,826.4,0.013,826.4,0.008,826.4,0.011,826.4,0.013
827.0,0.053,827.0,0.012,827.0,0.007,827.0,0.011,827.0,0.012
827.6,0.052,827.6,0.012,827.6,0.008,827.6,0.011,827.6,0.012
828.2,0.053,828.2,0.013,828.2,0.008,828.2,0.011,828.2,0.012
828.8,0.052,828.8,0.013,828.8,0.008,828.8,0.010,828.8,0.012
829.4,0.053,829.4,0.013,829.4,0.007,829.4,0.011,829.4,0.012
830.0,0.052,830.0,0.013,830.0,0.008,830.0,0.011,830.0,0.012
830.6,0.053,830.6,0.014,830.6,0.008,830.6,0.011,830.6,0.013
831.2,0.054,831.2,0.014,831.2,0.008,831.2,0.011,831.2,0.012
831.8,0.054,831.8,0.013,831.8,0.007,831.8,0.010,831.8,0.011
832.4,0.054,832.4,0.013,832.4,0.007,832.4,0.011,832.4,0.012
833.0,0.054,833.0,0.013,833.0,0.007,833.0,0.011,833.0,0.012
833.6,0.054,833.6,0.014,833.6,0.008,833.6,0.012,833.6,0.013
834.2,0.054,834.2,0.013,834.2,0.008,834.2,0.011,834.2,0.012
834.8,0.053,834.8,0.013,834.8,0.008,834.8,0.011,834.8,0.012
835.4,0.053,835.4,0.013,835.4,0.007,835.4,0.011,835.4,0.012
836.0,0.053,836.0,0.013,836.0,0.008,836.0,0.011,836.0,0.012
836.6,0.054,836.6,0.012,836.6,0.008,836.6,0.011,836.6,0.013
837.2,0.053,837.2,0.012,837.2,0.008,837.2,0.011,837.2,0.012
837.8,0.053,837.8,0.012,837.8,0.008,837.8,0.011,837.8,0.013
838.4,0.053,838.4,0.012,838.4,0.007,838.4,0.010,838.4,0.012
839.0,0.053,839.0,0.012,839.0,0.007,839.0,0.010,839.0,0.011
839.6,0.053,839.6,0.012,839.6,0.008,839.6,0.010,839.6,0.011
840.2,0.053,840.2,0.012,840.2,0.008,840.2,0.010,840.2,0.012
840.8,0.053,840.8,0.012,840.8,0.008,840.8,0.010,840.8,0.012
841.4,0.053,841.4,0.012,841.4,0.007,841.4,0.009,841.4,0.011
842.0,0.053,842.0,0.012,842.0,0.007,842.0,0.009,842.0,0.012
842.6,0.054,842.6,0.012,842.6,0.007,842.6,0.010,842.6,0.012
843.2,0.054,843.2,0.011,843.2,0.007,843.2,0.010,843.2,0.012
843.8,0.055,843.8,0.013,843.8,0.007,843.8,0.011,843.8,0.012
844.4,0.055,844.4,0.014,844.4,0.008,844.4,0.011,844.4,0.013
845.0,0.055,845.0,0.014,845.0,0.008,845.0,0.012,845.0,0.013
845.6,0.055,845.6,0.013,845.6,0.008,845.6,0.011,845.6,0.013
846.2,0.055,846.2,0.012,846.2,0.007,846.2,0.010,846.2,0.012
846.8,0.055,846.8,0.013,846.8,0.007,846.8,0.010,846.8,0.012
847.4,0.055,847.4,0.012,847.4,0.007,847.4,0.010,847.4,0.012
848.0,0.055,848.0,0.013,848.0,0.008,848.0,0.011,848.0,0.013
848.6,0.054,848.6,0.012,848.6,0.008,848.6,0.011,848.6,0.012
849.2,0.054,849.2,0.013,849.2,0.009,849.2,0.011,849.2,0.012
849.8,0.054,849.8,0.013,849.8,0.009,849.8,0.011,849.8,0.012
850.4,0.054,850.4,0.012,850.4,0.008,850.4,0.010,850.4,0.012
851.0,0.054,851.0,0.013,851.0,0.008,851.0,0.010,851.0,0.012
851.6,0.054,851.6,0.012,851.6,0.007,851.6,0.010,851.6,0.012
852.2,0.054,852.2,0.013,852.2,0.008,852.2,0.010,852.2,0.012
852.8,0.055,852.8,0.013,852.8,0.008,852.8,0.010,852.8,0.012
853.4,0.055,853.4,0.013,853.4,0.008,853.4,0.009,853.4,0.012
854.0,0.055,854.0,0.012,854.0,0.007,854.0,0.010,854.0,0.012
854.6,0.055,854.6,0.013,854.6,0.007,854.6,0.011,854.6,0.012
855.2,0.055,855.2,0.013,855.2,0.007,855.2,0.012,855.2,0.013
855.8,0.055,855.8,0.013,855.8,0.007,855.8,0.011,855.8,0.012
856.4,0.055,856.4,0.013,856.4,0.007,856.4,0.011,856.4,0.012
857.0,0.054,857.0,0.013,857.0,0.007,857.0,0.012,857.0,0.012
857.6,0.054,857.6,0.013,857.6,0.008,857.6,0.011,857.6,0.012
858.2,0.054,858.2,0.013,858.2,0.008,858.2,0.011,858.2,0.013
858.8,0.053,858.8,0.012,858.8,0.007,858.8,0.010,858.8,0.012
859.4,0.053,859.4,0.013,859.4,0.007,859.4,0.011,859.4,0.012
860.0,0.053,860.0,0.013,860.0,0.008,860.0,0.011,860.0,0.012
860.6,0.054,860.6,0.014,860.6,0.008,860.6,0.012,860.6,0.013
861.2,0.053,861.2,0.013,861.2,0.008,861.2,0.011,861.2,0.013
861.8,0.053,861.8,0.013,861.8,0.007,861.8,0.011,861.8,0.012
862.4,0.053,862.4,0.012,862.4,0.007,862.4,0.011,862.4,0.012
863.0,0.053,863.0,0.013,863.0,0.007,863.0,0.011,863.0,0.013
863.6,0.053,863.6,0.013,863.6,0.008,863.6,0.011,863.6,0.013
864.2,0.053,864.2,0.014,864.2,0.008,864.2,0.011,864.2,0.014
864.8,0.052,864.8,0.014,864.8,0.007,864.8,0.011,864.8,0.013
865.4,0.052,865.4,0.014,865.4,0.007,865.4,0.010,865.4,0.013
866.1,0.052,866.1,0.013,866.1,0.007,866.1,0.011,866.1,0.013
866.7,0.052,866.7,0.013,866.7,0.007,866.7,0.011,866.7,0.013
867.3,0.052,867.3,0.012,867.3,0.007,867.3,0.011,867.3,0.013
867.9,0.051,867.9,0.013,867.9,0.007,867.9,0.010,867.9,0.013
868.5,0.050,868.5,0.013,868.5,0.007,868.5,0.011,868.5,0.012
869.1,0.050,869.1,0.013,869.1,0.007,869.1,0.011,869.1,0.012
869.7,0.050,869.7,0.013,869.7,0.007,869.7,0.011,869.7,0.012
870.3,0.051,870.3,0.014,870.3,0.007,870.3,0.011,870.3,0.013
870.9,0.050,870.9,0.013,870.9,0.007,870.9,0.011,870.9,0.013
871.5,0.050,871.5,0.013,871.5,0.007,871.5,0.011,871.5,0.012
872.1,0.049,872.1,0.013,872.1,0.007,872.1,0.010,872.1,0.013
872.7,0.048,872.7,0.013,872.7,0.007,872.7,0.011,872.7,0.013
873.3,0.048,873.3,0.012,873.3,0.007,873.3,0.010,873.3,0.013
873.9,0.048,873.9,0.012,873.9,0.006,873.9,0.010,873.9,0.012
874.5,0.047,874.5,0.011,874.5,0.005,874.5,0.010,874.5,0.012
875.1,0.047,875.1,0.013,875.1,0.005,875.1,0.010,875.1,0.012
875.7,0.045,875.7,0.012,875.7,0.006,875.7,0.010,875.7,0.013
876.3,0.045,876.3,0.013,876.3,0.007,876.3,0.010,876.3,0.013
876.9,0.045,876.9,0.012,876.9,0.007,876.9,0.011,876.9,0.013
877.5,0.045,877.5,0.011,877.5,0.007,877.5,0.010,877.5,0.013
878.1,0.045,878.1,0.012,878.1,0.006,878.1,0.010,878.1,0.012
878.7,0.045,878.7,0.011,878.7,0.005,878.7,0.010,878.7,0.012
879.3,0.045,879.3,0.013,879.3,0.007,879.3,0.010,879.3,0.012
879.9,0.045,879.9,0.013,879.9,0.007,879.9,0.011,879.9,0.012
880.5,0.045,880.5,0.013,880.5,0.008,880.5,0.011,880.5,0.012
881.1,0.044,881.1,0.012,881.1,0.007,881.1,0.011,881.1,0.012
881.7,0.044,881.7,0.012,881.7,0.007,881.7,0.011,881.7,0.012
882.3,0.043,882.3,0.011,882.3,0.006,882.3,0.010,882.3,0.011
882.9,0.043,882.9,0.012,882.9,0.006,882.9,0.010,882.9,0.011
883.5,0.043,883.5,0.012,883.5,0.007,883.5,0.010,883.5,0.011
884.1,0.044,884.1,0.013,884.1,0.007,884.1,0.011,884.1,0.012
884.7,0.044,884.7,0.013,884.7,0.007,884.7,0.010,884.7,0.012
885.3,0.043,885.3,0.012,885.3,0.007,885.3,0.011,885.3,0.012
885.9,0.041,885.9,0.011,885.9,0.006,885.9,0.010,885.9,0.011
886.5,0.040,886.5,0.011,886.5,0.006,886.5,0.011,886.5,0.011
887.1,0.040,887.1,0.012,887.1,0.007,887.1,0.010,887.1,0.011
887.7,0.040,887.7,0.012,887.7,0.006,887.7,0.010,887.7,0.012
888.3,0.038,888.3,0.012,888.3,0.007,888.3,0.010,888.3,0.013
888.9,0.037,888.9,0.012,888.9,0.007,888.9,0.010,888.9,0.013
